Value Set ID	Refset ID	Title	Description	Update Type
canshare-cancer-service	297751000210107	NZ cancer service reference set	The type of cancer service that is currently, or should in the future, treat this cancer.	To be created
canshare-cancer-stream	297761000210105	NZ cancer stream reference set	The category of the primary cancer being assessed and/or treated.	To be created
canshare-solid-cancer-stream	302481000210103	NZ cancer solid tumour stream reference set	The category of the primary solid cancer being assessed and/or treated.	To be created
canshare-haematology-stream	302491000210101	NZ cancer haematology stream reference set	The category of haematologic cancer being assessed and/or treated.	To be created
canshare-cancer-substream	297771000210104	NZ cancer substream reference set	The subcategory of the primary cancer being assessed and/or treated. 	To be created
canshare-solid-tumour-substream	302501000210106	NZ cancer solid tumour substream reference set	The subcategory of the primary solid cancer being assessed and/or treated.	To be created
canshare-gastro-substream	302511000210108	NZ cancer gastrointestinal substream reference set	The subcategory of the primary gastrointestinal solid cancer being assessed and/or treated.	To be created
canshare-genitourinary-substream	302961000210103	NZ cancer genitourinary substream reference set	The subcategory of the primary genitourinary solid cancer being assessed and/or treated.	To be created
canshare-endocrine-neuroendocrine-substream	302521000210103	NZ cancer endocrine and/or neuroendocrine substream reference set	The subcategory of the primary endocrine and/or neuroendocrine solid cancer being assessed and/or treated.	To be created
canshare-neuroendocrine-substream	302531000210101	NZ cancer neuroendocrine substream reference set	The subcategory of the primary neuroendocrine solid cancer being assessed and/or treated.	To be created
canshare-soft-tissue-bone-substream	302541000210109	NZ cancer soft tissue and/or bone substream reference set	The subcategory of the primary soft tissue and/or bone solid cancer being assessed and/or treated.	To be created
canshare-skin-melanoma-substream	302551000210107	NZ cancer skin and/or melanoma substream reference set	The subcategory of the primary skin and/or melanoma solid cancer being assessed and/or treated.	To be created
canshare-haematology-substream	302561000210105	NZ cancer haematology substream reference set	The subcategory of haematologic cancer being assessed and/or treated.	To be created
canshare-b-cell-lymphoid-substream	302571000210104	NZ cancer B-cell lymphoid substream reference set	The subcategory of B-cell lymphoid haematologic cancer being assessed and/or treated.	To be created
