canshare-data-absent-reason	253111000210109	NZ cancer data absent reason	A reason that no specific value is available.	Created	
canshare-observation	253121000210104	NZ cancer observation code	Observable entities used to represent the meaning of CanShare data elements.	Created	
canshare-sact-basis-of-cancer-diagnosis	253131000210102	NZ SACT basis of diagnosis	Types of evidence that may be used to reach a cancer diagnosis, which is treated with systemic anti cancer therapy (SACT).	Created	
canshare-who5-haematology-histology	253231000210109	NZ WHO haematolymphoid tumour histology (5th edition)	Histologies used for haematolymphoid cancer types (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition) 	To be updated - value set ID	canshare-haematology-histology
canshare-who5-haematology-myeloid-histology	263321000210108	NZ WHO haematolymphoid myeloid proliferation or neoplasm histology (5th edition)	Histologies used for myeloid proliferations and neoplasms (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 2. Myeloid proliferations and neoplasms) 	To be updated - value set ID	canshare-haematology-myeloid-histology
canshare-who5-haematology-histiocytic-histology	263331000210105	NZ WHO haematolymphoid histiocytic dendritic cell neoplasm histology (5th edition)	Histologies used for histiocytic and dendritic cell neoplasms (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 3. Histiocytic/Dendritic cell neoplasms) 	To be updated - value set ID	canshare-haematology-histiocytic-histology
canshare-who5-haematology-b-cell-histology	263341000210102	NZ WHO haematolymphoid B cell lymphoid proliferation or lymphoma histology (5th edition)	Histologies used for B cell lymphoid proliferations and lymphomas (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 4. B cell lymphoid proliferations and lymphomas) 	To be updated - value set ID	canshare-haematology-b-cell-histology
canshare-who5-haematology-t-nk-cell-histology	263351000210104	NZ WHO haematolymphoid T cell and NK cell lymphoid proliferation or lymphoma histology (5th edition)	Histologies used for T cell and NK cell lymphoid proliferations and lymphomas (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 5. T cell and NK cell lymphoid proliferations and lymphomas) 	To be updated - value set ID	canshare-haematology-t-nk-cell-histology
canshare-who5-haematology-stroma-histology	263361000210101	NZ WHO haematolymphoid stroma derived neoplasm of lymphoid tissue histology (5th edition)	Histologies used for stroma-derived neoplasms of lymphoid tissues (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 6. Stroma-derived neoplasms of lymphoid tissues) 	To be updated - value set ID	canshare-haematology-stroma-histology
canshare-laterality	253241000210101	NZ cancer laterality	The side of a paired organ, e.g. left or right.	Created	
canshare-grading-system	253281000210108	NZ cancer grading system	Grading systems used to assess the grade of one or more cancer types.	Created	
canshare-recurrence-type	253291000210105	NZ cancer recurrence type	The type of cancer recurrence, e.g. local, regional.	Created	
