Value Set ID	Refset ID	Title	Description
canshare-data-absent-reason	253111000210109	NZ CanShare data absent reason	Reasons that no specific value is available.
canshare-observation	253121000210104	NZ CanShare observation	Observable entities used to represent the meaning of CanShare data elements.
canshare-sact-basis-of-cancer-diagnosis	253131000210102	NZ CanShare SACT basis of diagnosis	Types of evidence that may be used to reach a cancer diagnosis, which is treated with systemic anti cancer therapy (SACT).
canshare-haematology-histology	253231000210109	NZ CanShare haematology histology	Histologies used for haematolymphoid cancer types (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition) 
canshare-haematology-myeloid-histology	263321000210108	NZ CanShare haematology myeloid histology	Histologies used for myeloid proliferations and neoplasms (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 2. Myeloid proliferations and neoplasms) 
canshare-haematology-histiocytic-histology	263331000210105	NZ CanShare haematology histiocytic histology	Histologies used for histiocytic and dendritic cell neoplasms (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 3. Histiocytic/Dendritic cell neoplasms) 
canshare-haematology-b-cell-histology	263341000210102	NZ CanShare haematology B-cell histology	Histologies used for B-cell lymphoid proliferations and lymphomas (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 4. B-cell lymphoid proliferations and lymphomas) 
canshare-haematology-t-nk-cell-histology	263351000210104	NZ CanShare haematology T/NK-cell histology	Histologies used for T-cell and NK-cell lymphoid proliferations and lymphomas (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 5. T-cell and NK-cell lymphoid proliferations and lymphomas) 
canshare-haematology-stroma-histology	263361000210101	NZ CanShare haematology stroma-derived histology	Histologies used for stroma-derived neoplasms of lymphoid tissues (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 6. Stroma-derived neoplasms of lymphoid tissues) 
canshare-laterality	253241000210101	NZ CanShare laterality	The side of a paired organ, e.g. left or right.
canshare-ajcc-grade	253251000210103	NZ CanShare AJCC grade	The grade of a cancer, assessed using the AJCC cancer staging manual (8th edition)
canshare-grading-system	253281000210108	NZ CanShare cancer grading system	Grading systems used to assess the grade of one or more cancer types.
canshare-recurrence-type	253291000210105	NZ CanShare cancer recurrence type	The type of cancer recurrence, e.g. local, regional.
canshare-ecog-status	253301000210109	NZ CanShare ECOG status	The performance status of a patient as defined by the Eastern Cooperative Oncology Group (ECOG).
canshare-tnm-ct	253451000210104	NZ CanShare TNM clinical T category	A clinical primary tumour stage (cT) of a tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).
