Value Set ID	Refset ID	Title	Description
canshare-data-absent-reason	253111000210109	NZ CanShare data absent reason	Reasons that no specific value is available.
canshare-sact-observation-codes	253121000210104	NZ CanShare SACT observation code	Observable entities used to represent the meaning of CanShare data elements.
canshare-sact-basis-of-cancer-diagnosis	253131000210102	NZ CanShare SACT basis of diagnosis	The types of evidence used to reach a cancer diagnosis.
canshare-haematolymphoid-histology	253231000210109	NZ CanShare hematolymphoid histology	Histologies used for haematolymphoid cancer types (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition) 
canshare-haematolymphoid-myeloid-histology	263321000210108	NZ CanShare hematolymphoid myeloid histology	Histologies used for myeloid proliferations and neoplasms (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 2. Myeloid proliferations and neoplasms) 
canshare-haematolymphoid-histiocytic-histology	263331000210105	NZ CanShare hematolymphoid histiocytic histology	Histologies used for histiocytic and dentritic cell neoplasms (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 3. Histiocytic/Dendritic cell neoplasms) 
canshare-haematolymphoid-Bcell-histology	263341000210102	NZ CanShare hematolymphoid B-cell histology	Histologies used for B-cell lymphoid proliferations and lymphomas (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 4. B-cell lymphoid proliferations and lymphomas) 
canshare-haematolymphoid-TNKcell-histology	263351000210104	NZ CanShare hematolymphoid T/NK-cell histology	Histologies used for T-cell and NK-cell lymphoid proliferations and lymphomas (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 5. T-cell and NK-cell lymphoid proliferations and lymphomas) 
canshare-haematolymphoid-stroma-histology	263361000210101	NZ CanShare hematolymphoid stroma-derived histology	Histologies used for stroma-derived neoplasms of lymphoid tissues (WHO Classification of Tumours, Haematolymphoid Tumours, 5th edition - 6. Stroma-derived neoplasms of lymphoid tissues) 
canshare-laterality	253241000210101	NZ CanShare laterality	The side of a paired organ, e.g. left or right.
canshare-AJCC-grade	253251000210103	NZ CanShare AJCC grade	The grade of a cancer, assessed using the AJCC cancer staging manual (8th edition)
canshare-gradingSystem	253281000210108	NZ CanShare cancer grading system	Grading systems used to assess the grade of one or more cancer types.
canshare-recurrenceType	253291000210105	NZ CanShare cancer recurrence type	The type of cancer recurrence, e.g. local, regional.
canshare-ecogStatus	253301000210109	NZ CanShare ECOG status	The performance status of a patient as defined by the Eastern Cooperative Oncology Group (ECOG).
canshare-TNM-cT	253451000210104	NZ CanShare TNM clinical T category	The clinical stage of a primary tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).
canshare-TNM-breast-cT	253491000210106	NZ CanShare TNM breast clinical T category	The clinical stage of a primary breast tumour before initiation of treatment, using the AJCC cancer staging manual (8th edition).
canshare-TNM-haematology-cT	253501000210101	NZ CanShare TNM haematology clinical T category	The clinical stage of a primary haematologic cancer before initiation of treatment, using the AJCC cancer staging manual (8th edition).
canshare-TNM-haematology-MFSScutaneousLymphoma-cT	253571000210108	NZ CanShare TNM haematology mycosis fungoides or sezary syndrome clinical T category	The clinical stage of a mycosis fungoides or sezary syndrome primary cutaneous lymphoma before initiation of treatment, using the AJCC cancer staging manual (8th edition).
canshare-TNM-haematology-nonMfssCutaneousLymphoma-cT	253581000210105	NZ CanShare TNM haematology primary cutaneous  B-cell or T-cell lymphoma (non-MF/SS) clinical T category	The clinical stage of a primary cutaneous B-cell or T-cell lymphoma (non-mycosis fungoides and non-sezary syndrome) before initiation of treatment, using the AJCC cancer staging manual (8th edition).
canshare-TNM-pT	253461000210101	NZ CanShare TNM pathological T category	The pathological stage of a primary tumour, using the AJCC cancer staging manual (8th edition).
canshare-TNM-breast-pT	253511000210104	NZ CanShare TNM carcinoma of breast pathological T category	The pathological stage of a primary breast tumour, using the AJCC cancer staging manual (8th edition).
canshare-TNM-haematology-pT	253521000210109	NZ CanShare TNM haematology pathological T category	The pathological stage of a primary haematologic cancer, using the AJCC cancer staging manual (8th edition).
